Day,DayOfWeek,Month,Monthly_Credit_Avg,Monthly_Debit_Avg,Year,Transaction_Frequency,Spending_To_Income_Ratio,Net_Savings,Savings_Growth,Transaction_Type_Bill Payment,Transaction_Type_Credit Card Payment,Transaction_Type_Lifestyle,Transaction_Type_Loan EMI,Transaction_Type_Salary,Transaction_Type_Swiggy,Transaction_Type_UPI,Credit,Debit,Balance
7,2,6,1474,5158,2023,36,0.0007787658410143283,2672.2865956969576,442.20175568485274,0,1,1,1,0,0,0,200,100,100
20,2,2,2082,2399,2024,40,0.9922115592912175,-4093.935654671792,63.28821784553929,1,1,1,1,1,0,0,500,400,100
15,4,12,3558,1767,2022,24,0.6174815096277165,1183.8600933308726,-114.58349746008389,1,0,0,0,1,0,1,1000,200,800
11,3,5,3047,2028,2024,3,0.6116531604882809,-1175.3800873283726,-484.0337477797858,1,0,1,1,1,1,0,900,100,800
8,2,1,3747,3702,2024,22,0.007066305219717406,4832.308858067881,-269.106174377851,1,1,0,0,0,0,0,10,5,5
21,5,12,1975,4056,2021,2,0.023062425041415757,-332.371067520201,-258.9745339739883,1,1,1,1,0,1,0,10,5,5
7,4,10,2806,4390,2022,24,0.5247746602583891,3599.404067363206,183.26351882545816,1,1,1,0,0,1,0,10,5,5
26,1,6,1189,1146,2022,44,0.3998609717152555,1803.075385877797,109.9966577826209,1,1,0,0,0,1,0,10,5,5
19,3,12,3734,3388,2022,30,0.04666566321361543,-495.00748030457,333.1949117361644,1,1,1,1,0,0,1,10,5,5
23,5,9,4005,5893,2024,38,0.9737555188414592,-4867.350388401334,-326.6353464922279,1,1,0,1,0,0,0,10,5,5
